"","LocationAbbr","Income","perc_strength","propstrength","adjstrength","perc_cardio","propcardio","adjcardio","perc_obese","prop_obese","adjobese","perc_excer","prop_excer","adjexcer","perc_fruit","prop_fruit","adjfruit","perc_veg","prop_veg","adjveg","vrich","region"
"215","TN","$75,000 or greater",36.7,0.279774678,10.26773069,54.5,0.281369863,15.33465753,32.4,0.270585189,8.766960124,24.9,0.282228999,7.027502079,43.2,0.279569892,12.07741935,14.2,0.283255941,4.022234362,1,"South"
"216","TX","$15,000 - $24,999",21,0.20681161,4.343043804,37.8,0.206817935,7.817717946,36,0.209425147,7.539305302,12.4,0.206650571,2.562467076,42.4,0.207060564,8.779367932,23.4,0.202269044,4.733095624,0,"South"
"217","TX","$25,000 - $34,999",29.2,0.125307915,3.658991111,44,0.125827815,5.536423841,35.7,0.127259801,4.543174893,19.2,0.125,2.4,44.6,0.124933939,5.572053694,19.2,0.124257158,2.385737439,0,"South"
"218","TX","$35,000 - $49,999",32.1,0.15476063,4.967816215,50.1,0.156226251,7.826935186,32.3,0.154478976,4.989670932,23.9,0.156057946,3.729784899,40.4,0.155374696,6.277137723,15.4,0.156888169,2.416077796,0,"South"
"219","TX","$50,000 - $74,999",30.4,0.167934026,5.105194388,47,0.166214309,7.812072522,29.9,0.166057282,4.965112736,20.4,0.16714223,3.409701493,42.7,0.16678998,7.121932142,20,0.167693139,3.353862777,0,"South"
"220","TX","$75,000 or greater",37.5,0.34518582,12.94446824,52.7,0.34491369,18.17695147,28.3,0.342778793,9.700639854,25.3,0.345149254,8.732276119,39.3,0.34584082,13.59154423,15.7,0.348892491,5.477612102,1,"South"
"221","UT","$15,000 - $24,999",26.8,0.131170999,3.515382781,46.3,0.130808325,6.05642546,26,0.13103122,3.406811731,17.9,0.129564049,2.319196483,43.4,0.13243147,5.74752581,24.1,0.131263486,3.163450012,0,"Western"
"222","UT","$25,000 - $34,999",31.6,0.094800859,2.995707131,52,0.093901258,4.88286544,28.5,0.094843898,2.703051088,21.3,0.094028575,2.002808646,41.2,0.094458289,3.8916815,24.5,0.093862383,2.299628386,0,"Western"
"223","UT","$35,000 - $49,999",31.4,0.158239924,4.968733604,53,0.158518877,8.401500484,27.4,0.157166509,4.306362346,21.2,0.158138967,3.352546098,37.7,0.157707369,5.945567818,21.2,0.157995684,3.349508511,0,"Western"
"224","UT","$50,000 - $74,999",35.3,0.206057715,7.273837348,57.8,0.205227493,11.86214908,24.9,0.204351939,5.088363292,26.5,0.20576383,5.452741482,36.3,0.204936514,7.439195443,19.2,0.205106689,3.93804843,0,"Western"
