"","LocationAbbr","Income","perc_strength","propstrength","adjstrength","perc_cardio","propcardio","adjcardio","perc_obese","prop_obese","adjobese","perc_excer","prop_excer","adjexcer","perc_fruit","prop_fruit","adjfruit","perc_veg","prop_veg","adjveg"
"12","AR","$25,000 - $34,999",16.7,0.150236220472441,2.50894488188976,34.1,0.149066323245332,5.08316162266581,32.5,0.154747596153846,5.029296875,11.2,0.14885993485342,1.66723127035831,57.5,0.151543498596819,8.71375116931712,28.1,0.151140684410646,4.24705323193916
"13","AR","$35,000 - $49,999",31.3,0.183307086614173,5.73751181102362,49,0.18254990341275,8.94494526722473,37.3,0.181790865384615,6.78079927884615,16.9,0.182410423452769,3.08273615635179,50.1,0.183037106329903,9.17015902712816,23.4,0.182826362484157,4.27813688212928
"14","AR","$50,000 - $74,999",28.4,0.168188976377953,4.77656692913386,48.4,0.169349645846748,8.19652285898261,36.7,0.169170673076923,6.20856370192308,18.9,0.169055374592834,3.19514657980456,44.2,0.169317118802619,7.48381665107577,28.7,0.169518377693283,4.86517743979721
"15","AR","$75,000 or greater",29.5,0.252283464566929,7.44236220472441,55.4,0.254668383773342,14.1086284610431,30,0.251802884615385,7.55408653846154,21.1,0.254397394136808,5.36778501628665,44.9,0.25444340505145,11.4245088868101,20.1,0.254752851711027,5.12053231939164
"16","AZ","$15,000 - $24,999",27.2,0.196808510638298,5.3531914893617,46.9,0.19643215073161,9.21266786931249,33.5,0.197793837961202,6.62609357170027,17.9,0.195413961038961,3.4979099025974,43.3,0.196807475180066,8.52176367529687,22.4,0.195160650535502,4.37159857199524
"17","AZ","$25,000 - $34,999",26.2,0.11859732072498,3.10724980299448,52.3,0.119262377229906,6.23742232912407,28,0.120007607455306,3.36021300874857,19.7,0.118912337662338,2.34257305194805,40.1,0.118162351567062,4.73831029783921,18.9,0.118008726695756,2.23036493454978
"18","AZ","$35,000 - $49,999",34.6,0.171394799054374,5.93026004728132,52.8,0.171176588494688,9.03812387251954,28.4,0.173069608216052,4.91517687333587,24.4,0.170251623376623,4.15413961038961,38.1,0.172279540587892,6.56385049639868,21.3,0.170170567235224,3.62463308211027
"19","AZ","$50,000 - $74,999",32.8,0.174940898345154,5.73806146572104,57.5,0.177189817598717,10.1884145119262,30.5,0.174210726511982,5.31342715861544,20.9,0.177556818181818,3.7109375,37.8,0.175004866653689,6.61518395950944,20.7,0.177310591035303,3.67032923443078
"20","AZ","$75,000 or greater",37.5,0.338258471237195,12.6846926713948,60.8,0.335939065945079,20.4250952094608,24.8,0.334918219855458,8.30597185241537,27.2,0.33786525974026,9.18993506493506,35.3,0.337745766011291,11.9224255401986,15.9,0.339349464498215,5.39565648552162
"21","CA","$15,000 - $24,999",28.4,0.157730283714536,4.47954005749281,50.7,0.156559949780289,7.93758945386064,28.5,0.157417102966841,4.48638743455497,18.8,0.156969390336453,2.95102453832532,34.5,0.159093662910457,5.48873137041076,20.8,0.158953474021967,3.30623225965692
